"","name","gs_email","as_pc_chair","as_pc","as_session_chair","as_panelist","as_keynote_speaker","as_author","pc_chairs","pcs","session_chairs","panels","keynotes","papers","gender","country","sector"
"2458","Fischer, Bernd","@cs.sun.ac.za",0,1,0,0,0,0,"","SLE","","","","","M","za","edu"
"2459","Fischer, Felix","@aisec.fraunhofer.de",0,0,0,0,0,1,"","","","","","SP","M","de","gov"
"2460","Fischer, Michael J.","@cs.yale.edu",0,0,0,0,0,1,"","","","","","SP","M","us","edu"
"2461","Fischer, Orr","",0,0,0,0,0,1,"","","","","","PODC","M","NA","NA"
"2462","Fischer, Paul","@mcs.anl.gov",0,0,0,0,0,1,"","","","","","SC","M","us","gov"
"2463","Fischer, Peter","@informatik.uni-freiburg.de",0,1,0,0,0,0,"","HotCloud","","","","","M","de","edu"
"2464","Fischmeister, Sebastian","",0,0,0,0,0,2,"","","","","","MASCOTS,ICPE","M","NA","NA"
"2465","Flach, Peter","@bristol.ac.uk",0,1,0,0,0,0,"","KDD","","","","","M","uk","edu"
"2466","Flajslik, Mario","@intel.com",0,0,0,0,0,1,"","","","","","HotI","M","NA","com"
"2467","Flammini, Michele","@univaq.it",0,1,0,0,0,0,"","IPDPS","","","","","M","it","edu"
"2468","Flanagan, Cormac","@ucsc.edu",0,0,0,0,0,1,"","","","","","PLDI","NA","ed","edu"
"2469","Flatt, Matthew","@cs.utah.edu",0,0,0,0,0,1,"","","","","","SLE","NA","ed","edu"
"2470","Flautner, Krisztián","",0,0,0,0,1,0,"","","","","MICRO","","M","NA","NA"
"2471","Flegar, Goran","@uji.es",0,0,0,0,0,2,"","","","","","ICPP,EuroPar","M","es","edu"
"2472","Fletcher, Christopher W.","@mit.edu",0,3,1,0,0,1,"","CCS,MICRO,ASPLOS","MICRO","","","NDSS","M","us","edu"
"2473","Fletcher, George H. L.","@tue.nl",0,0,0,0,0,1,"","","","","","SIGMOD","M","nl","edu"
"2474","Flick, Patrick","@gatech.edu",0,0,0,0,0,1,"","","","","","IPDPS","M","us","edu"
"2475","Flinn, Jason","@umich.edu",0,2,1,0,0,1,"","SOSP,ASPLOS","SOSP","","","FAST","M","ed","edu"
"2476","Flocchini, Paola","@eecs.uottawa.ca",0,2,0,0,0,0,"","PODC,IPDPS","","","","","F","ca","edu"
