"","name","gs_email","as_pc_chair","as_pc","as_session_chair","as_panelist","as_keynote_speaker","as_author","pc_chairs","pcs","session_chairs","panels","keynotes","papers","gender","country","sector"
"1","Aalst, Wil Van Der","@tue.nl",0,0,0,0,0,1,"","","","","","CCGrid","M","nl","edu"
"2","Aba, Massinissa Ait","@cea.fr",0,0,0,0,0,1,"","","","","","HCW","M","fr","gov"
"3","Ababei, Cristinel","@marquette.edu",0,1,0,0,0,0,"","IGSC","","","","","M","us","edu"
"4","Abadi, Daniel J.","@cs.yale.edu",0,1,0,0,0,1,"","CIDR","","","","CIDR","M","us","edu"
"5","Abadi, Martín","",0,0,0,0,1,0,"","","","","PLDI","","M","NA","NA"
"6","Abari, Omid","@mit.edu",0,0,0,0,0,1,"","","","","","NSDI","NA","us","edu"
"7","Abbadi, Amr El","@cs.ucsb.edu",0,0,0,0,0,1,"","","","","","HotCloud","M","ed","edu"
"8","Abbadi, Mohamed","",0,0,0,0,0,1,"","","","","","SLE","M","NA","NA"
"9","Abbas, Naeem","@pnec.nust.edu.pk",0,0,0,0,0,1,"","","","","","IPDPS","M","us","edu"
"10","Abdel-Majeed, Mohammad","@ju.edu.jo",0,0,0,0,0,1,"","","","","","HPCA","M","us","edu"
"11","Abdelbaky, Moustafa","@rutgers.edu",0,0,0,0,0,1,"","","","","","CCGrid","M","us","edu"
"12","Abdelhafez, Hazem","@ece.ubc.ca",0,0,0,0,0,1,"","","","","","EuroPar","M","ca","edu"
"13","Abdelhalim, Amer","@anl.gov",0,1,0,0,0,0,"","Cluster","","","","","M","us","gov"
"14","Abdelwahed, Sherif","@ece.msstate.edu",0,0,0,0,0,1,"","","","","","Cluster","NA","us","edu"
"15","Abdelzaher, Tarek","@cs.uiuc.edu",0,1,0,0,0,1,"","ICAC","","","","ICAC","M","ed","edu"
"16","Abdolrashidi, Amirali","@email.ucr.edu",0,0,0,0,0,1,"","","","","","MICRO","M","ed","edu"
"17","Abdulah, Sameh","",0,1,0,0,0,0,"","HiPC","","","","","M","NA","NA"
"18","Abduljabbar, Mustafa","@kaust.edu.sa",0,0,0,0,0,2,"","","","","","EuroPar,ISC","M","us","edu"
"19","Abdulla, Parosh Aziz","@it.uu.se",0,0,0,0,0,1,"","","","","","PLDI","F","se","edu"
"20","Abe, Naoki","",0,1,1,0,0,0,"","KDD","KDD","","","","M","NA","NA"
"21","Abe, Tatsuya","",0,0,0,0,0,1,"","","","","","OOPSLA","NA","NA","NA"
"22","Abedi, Ali","@maine.edu",0,0,0,0,0,1,"","","","","","ICPE","NA","us","edu"
"23","Abedjan, Ziawasch","@tu-berlin.de",0,0,1,0,0,1,"","","CIDR","","","CIDR","M","de","edu"
"24","Aben, Emile","",0,0,0,0,0,2,"","","","","","SIGCOMM,IMC","NA","NA","NA"
"25","Abeydeera, Maleen","@mit.edu",0,0,0,0,0,2,"","","","","","ISCA,PACT","NA","us","edu"
"26","Abhashkumar, Anubhavnidhi","@wisc.edu",0,0,0,0,0,1,"","","","","","CoNEXT","M","us","edu"
"27","Aboulnaga, Ashraf","@qf.org.qa",0,2,0,0,0,0,"","SIGMOD,SOCC","","","","","M","qa","edu"
"28","Abowd, John","@census.gov",0,0,0,0,0,1,"","","","","","SIGMOD","NA","us","gov"
"29","Abraham, Ittai","@cs.huji.ac.il",0,1,0,0,0,2,"","IPDPS","","","","NSDI,SOSP","M","il","edu"
"30","Abrahao, Bruno","@cs.stanford.edu",0,1,0,0,0,0,"","KDD","","","","","M","us","edu"
"31","Abramson, David","@monash.edu",1,4,0,0,0,0,"ICPP","CCGrid,HPDC,IPDPS,HPCC","","","","","M","us","edu"
"32","Abts, Dennis","@acm.org",0,1,0,0,0,0,"","IISWC","","","","","M","NA","NA"
"33","Abu-Ghazaleh, Nael","@cs.ucr.edu",0,0,0,0,0,2,"","","","","","MICRO,MICRO","NA","ed","edu"
"34","Abu-Salma, Ruba","",0,0,0,0,0,1,"","","","","","SP","M","NA","NA"
"35","Abulila, Ahmed","",0,0,0,0,0,1,"","","","","","HPCA","M","NA","NA"
"36","Acar, Gunes","@princeton.edu",0,0,0,0,0,1,"","","","","","CCS","M","us","edu"
"37","Acar, Umut A.","@cs.cmu.edu",0,1,0,0,0,2,"","SPAA","","","","PLDI,PPoPP","M","us","edu"
"38","Acar, Yasemin","",0,0,0,0,0,4,"","","","","","CCS,CCS,SP,SP","NA","NA","NA"
"39","Accioly, Paola","@cin.ufpe.br",0,0,0,0,0,1,"","","","","","OOPSLA","M","br","edu"
"40","Acer, Mustafa Emre","",0,0,0,0,0,1,"","","","","","CCS","M","NA","NA"
"41","Acer, Seher","@bilkent.edu.tr",0,0,0,0,0,1,"","","","","","EuroPar","M","us","edu"
"42","Acharya, Ayan","@utexas.edu",0,1,0,0,0,0,"","ICDM","","","","","M","ed","edu"
"43","Achermann, Reto","@inf.ethz.ch",0,0,0,0,0,1,"","","","","","HotOS","NA","ch","edu"
"44","Acun, Bilge","@illinois.edu",0,0,0,0,0,1,"","","","","","HiPC","M","us","edu"
"45","Adam, Omer","",0,0,0,0,0,1,"","","","","","CCGrid","M","NA","NA"
"46","Adams, Michael D.","@utah.edu",0,0,0,0,0,1,"","","","","","OOPSLA","NA","ed","edu"
"47","Adams, Trent","",0,0,0,0,1,0,"","","","","NDSS","","M","NA","NA"
"48","Adamsen, Christoffer Quist","@cs.au.dk",0,0,0,0,0,1,"","","","","","OOPSLA","M","dk","edu"
"49","Adeniyi-Jones, Chris","",0,1,0,0,0,0,"","EuroPar","","","","","M","NA","NA"
"50","Adersberger, Josef","",0,0,0,0,0,1,"","","","","","FAST","M","NA","NA"
"51","Adhinarayanan, Vignesh","@vt.edu",0,0,0,0,0,1,"","","","","","IPDPS","M","us","edu"
"52","Adib, Fadel","@mit.edu",0,1,1,0,0,2,"","MobiCom","MobiCom","","","SIGCOMM,MobiCom","M","us","edu"
"53","Adrian, David","@umich.edu",0,0,0,0,0,1,"","","","","","NDSS","F","ed","edu"
"54","Adve, Sarita V.","@illinois.edu",0,0,0,0,0,2,"","","","","","IISWC,ISCA","M","us","edu"
"55","Afroz, Sadia","@icsi.berkeley.edu",0,1,0,0,0,0,"","CCS","","","","","F","us","edu"
"56","Afsahi, Ahmad","",0,2,0,0,0,1,"","IPDPS,HPCC","","","","HiPC","M","NA","NA"
"57","Aftandilian, Edward","@google.com",0,1,0,0,0,1,"","PLDI","","","","OOPSLA","M","NA","com"
"58","Aga, Misiker Tadesse","@umich.edu",0,0,0,0,0,1,"","","","","","HPCA","F","ed","edu"
"59","Aga, Shaizeen","@umich.edu",0,0,0,0,0,2,"","","","","","HPCA,ISCA","NA","ed","edu"
"60","Agache, Alexandru","",0,0,0,0,0,2,"","","","","","EuroSys,SIGCOMM","NA","NA","NA"
"61","Agarwal, Deepak","",0,0,0,1,0,0,"","","","KDD","","","M","NA","NA"
"62","Agarwal, Neha","@umich.edu",0,0,0,0,0,1,"","","","","","ASPLOS","NA","ed","edu"
"63","Agarwal, Nipun","",0,0,0,0,0,1,"","","","","","MICRO","NA","NA","NA"
"64","Agarwal, Rachit","@cs.cornell.edu",0,1,0,0,0,2,"","ATC","","","","EuroSys,SIGMOD","M","us","edu"
"65","Agarwal, Sameer","@cs.berkeley.edu",0,1,0,0,0,0,"","SOCC","","","","","M","us","edu"
"66","Agarwal, Sharad","@microsoft.com",0,2,0,0,0,0,"","NSDI,MobiCom","","","","","M","NA","com"
"67","Ageev, Mikhail","@yandex.com",0,1,0,0,0,0,"","SIGIR","","","","","M","NA","com"
"68","Aggarwal, Charu","@us.ibm.com",0,1,0,0,0,5,"","ICDM","","","","KDD,KDD,KDD,KDD,ICDM","M","us","com"
"69","Aggarwal, Pooja","",0,0,0,0,0,1,"","","","","","HiPC","F","NA","NA"
"70","Aghayev, Abutalib","",0,0,0,0,0,1,"","","","","","FAST","NA","NA","NA"
"71","Agichtein, Eugene","@mathcs.emory.edu",0,2,0,0,0,0,"","SIGIR,SIGMOD","","","","","M","us","edu"
"72","Agostini, Elena","",0,0,0,0,0,1,"","","","","","CCGrid","M","NA","NA"
"73","Agrawal, Abhinav","@ncsu.edu",0,0,0,0,0,2,"","","","","","IISWC,SC","NA","us","edu"
"74","Agrawal, Abhishek","@intel.com",0,1,0,0,0,0,"","IGSC","","","","","M","NA","com"
"75","Agrawal, Aditya","@illinois.edu",0,0,0,0,0,3,"","","","","","MICRO,MICRO,SIGMETRICS","NA","us","edu"
"76","Agrawal, Ankit","@eecs.northwestern.edu",0,1,0,0,0,2,"","ICDM","","","","HiPC,HiPC","M","us","edu"
"77","Agrawal, Divyakant","@cs.ucsb.edu",0,0,0,0,0,2,"","","","","","SIGMOD,HotCloud","NA","ed","edu"
"78","Agrawal, Gagan","@cse.ohio-state.edu",1,2,1,0,0,2,"HiPC","CCGrid,PACT","HiPC","","","CCGrid,PPoPP","M","us","edu"
"79","Agrawal, Gaurav","@google.com",0,0,0,0,0,1,"","","","","","ISCA","NA","NA","com"
"80","Agrawal, Kunal","@wustl.edu",0,0,0,0,0,3,"","","","","","ICPP,PPoPP,PPoPP","F","us","edu"
"81","Agrawal, Nitin","@cs.wisc.edu",0,1,1,0,0,2,"","FAST","FAST","","","SOSP,Middleware","M","us","edu"
"82","Agrawal, Rakesh","@microsoft.com",0,1,0,0,0,0,"","CIDR","","","","","M","NA","com"
"83","Agrawal, Sandeep R.","@oracle.com",0,1,0,0,0,1,"","IISWC","","","","MICRO","M","us","com"
"84","Agrawal, Shashank","@visa.com",0,0,0,0,0,1,"","","","","","CCS","NA","NA","com"
"85","Agrawal, Shweta","@iitm.ac.in",0,0,0,0,0,1,"","","","","","CCS","M","in","edu"
"86","Aguiar, Leandro P. De","",0,0,0,0,0,1,"","","","","","SIGMETRICS","NA","NA","NA"
"87","Aguilera, Marcos K.","@vmware.com",1,1,2,0,0,0,"HotStorage","SOSP","HotStorage,SOCC","","","","M","NA","com"
"88","Agullo, Emmanuel","",0,1,0,0,0,0,"","SC","","","","","M","NA","NA"
"89","Agung, Mulya","",0,0,0,0,0,1,"","","","","","HiPC","NA","NA","NA"
"90","Ahalt, Stan","",0,1,0,0,0,0,"","SC","","","","","M","NA","NA"
"91","Ahamad, Mustaque","@cc.gatech.edu",0,0,0,0,0,1,"","","","","","NDSS","NA","us","edu"
"92","Ahmad, Irfan","",0,1,2,0,0,1,"","FAST","HotCloud,FAST","","","ATC","M","NA","NA"
"93","Ahmad, Ishfaq","@cse.uta.edu",0,0,1,0,0,1,"","","IGSC","","","IGSC","M","ed","edu"
"94","Ahmad, Maaz Bin Safeer","",0,0,0,0,0,1,"","","","","","PLDI","NA","NA","NA"
"95","Ahmad, Masab","@uconn.edu",0,0,0,0,0,1,"","","","","","IPDPS","NA","ed","edu"
"96","Ahmad, Raza","",0,0,0,0,0,1,"","","","","","ICDM","F","NA","NA"
"97","Ahmad, Yanif","@jhu.edu",0,1,0,0,0,0,"","SIGMOD","","","","","M","us","edu"
"98","Ahmed, Amal","@ccs.neu.edu",0,0,0,0,0,1,"","","","","","PLDI","NA","us","edu"
"99","Ahmed, Kishwar","@fiu.edu",0,0,0,0,0,1,"","","","","","MASCOTS","F","us","edu"
"100","Ahmed, M Meraj","@g.rit.edu",0,0,0,0,0,1,"","","","","","IGSC","M","us","edu"
"101","Ahmed, Maruf","",0,0,0,0,0,1,"","","","","","Cluster","F","NA","NA"
"102","Ahmed, Pritom","@ucr.edu",0,0,0,0,0,1,"","","","","","SIGMOD","NA","ed","edu"
"103","Ahmed, Salah","",0,0,0,0,0,1,"","","","","","SIGMOD","NA","NA","NA"
"104","Ahn, Dong H.","",0,0,0,0,0,2,"","","","","","IISWC,PPoPP","NA","NA","NA"
"105","Ahn, Ethan C.","@utsa.edu",0,0,0,0,0,1,"","","","","","HotStorage","NA","ed","edu"
"106","Ahn, Gail-Joon","@asu.edu",0,2,0,0,0,1,"","CCS,CLOUD","","","","NDSS","M","us","edu"
"107","Ahn, Jung Ho","@snu.ac.kr",0,4,0,0,0,4,"","MICRO,SC,ISCA,IPDPS","","","","IISWC,IISWC,HPCA,ASPLOS","M","kr","edu"
"108","Ahn, Soohan","",0,0,0,0,0,1,"","","","","","ICPE","M","NA","NA"
"109","Ahrens, James","@lanl.gov",0,0,0,0,0,1,"","","","","","IPDPS","NA","us","gov"
"110","Ai, Qingyao","@cs.umass.edu",0,0,0,0,0,2,"","","","","","SIGIR,SIGIR","NA","ed","edu"
"111","Ai, Zhiyuan","",0,0,0,0,0,1,"","","","","","ATC","M","NA","NA"
"112","Aida, Kento","",0,1,0,0,0,0,"","CLOUD","","","","","M","NA","NA"
"113","Aiello, Luca Maria","@nokia-bell-labs.com",0,1,0,0,0,0,"","SIGIR","","","","","M","NA","com"
"114","Aiello, Marco","@ieee.org",0,1,0,0,0,0,"","CLOUD","","","","","M","NA","NA"
"115","Aiken, Alex","@cs.stanford.edu",0,0,0,0,0,5,"","","","","","OOPSLA,SC,PLDI,ASPLOS,HiPC","NA","us","edu"
"116","Ailamaki, Anastasia","@epfl.ch",0,0,0,0,0,2,"","","","","","CIDR,SOCC","F","ch","edu"
"117","Ainsworth, Mark","@brown.edu",0,0,0,0,0,2,"","","","","","HotStorage,Cluster","NA","us","edu"
"118","Aiyar, Srinivas","",0,0,0,0,0,1,"","","","","","NSDI","NA","NA","NA"
"119","Ajay, Jerry","@buffalo.edu",0,0,0,0,0,1,"","","","","","ASPLOS","NA","us","edu"
"120","Aji, Ashwin","@amd.com",0,3,0,0,0,0,"","ICPP,IPDPS,HPCC","","","","","M","NA","com"
"121","Akaria, Islam","",0,0,0,0,0,1,"","","","","","IPDPS","F","NA","NA"
"122","Akata, Zeynep","",0,0,0,0,1,0,"","","","","ISC","","F","NA","NA"
"123","Akbudak, Kadir","@cs.bilkent.edu.tr",0,0,0,0,0,1,"","","","","","ISC","NA","us","edu"
"124","Akella, Aditya","@cs.wisc.edu",1,1,1,0,0,5,"NSDI","SOSP","SOSP","","","SIGCOMM,CoNEXT,SOSP,ATC,SOCC","M","us","edu"
"125","Akella, Venkatesh","",0,0,0,0,0,1,"","","","","","HPCA","NA","NA","NA"
"126","Aken, Dana Van","",0,0,0,0,0,2,"","","","","","SIGMOD,CIDR","F","NA","NA"
"127","Akgun, Itir","@ece.ucsb.edu",0,0,0,0,0,1,"","","","","","ISCA","NA","ed","edu"
"128","Akkus, Istemi Ekin","@mpi-sws.org",0,0,0,0,0,2,"","","","","","CoNEXT,Middleware","M","de","gov"
"129","Akoglu, Ali","MISSING",0,1,0,0,0,1,"","HPCC","","","","HPCC","M","NA","NA"
"130","Akoglu, Leman","@cs.cmu.edu",0,1,1,1,0,0,"","ICDM","KDD","ICDM","","","F","us","edu"
"131","Akram, Riad","",0,0,0,0,0,1,"","","","","","IISWC","NA","NA","NA"
"132","Aksenov, Vitaly","",0,0,0,0,0,1,"","","","","","EuroPar","NA","NA","NA"
"133","Aktaş, Mehmet Fatih","MISSING",0,0,0,0,0,1,"","","","","","ICPP","NA","NA","NA"
"134","Aktolga, Elif","@cs.umass.edu",0,1,0,0,0,0,"","SIGIR","","","","","F","ed","edu"
"135","Akturk, Ismail","@umn.edu",0,0,0,0,0,1,"","","","","","ASPLOS","F","ed","edu"
"136","Al-Fuqaha, Ala","@wmich.edu",0,0,0,0,0,1,"","","","","","HPCC","NA","us","edu"
"137","Al-Hawaj, Khalid","",0,0,0,0,0,1,"","","","","","MICRO","NA","NA","NA"
"138","Al-Kiswany, Samer","@uwaterloo.ca",0,2,0,0,0,1,"","MASCOTS,HPDC","","","","HPDC","M","ca","edu"
"139","Al-Rawi, Asma","",0,0,0,0,0,1,"","","","","","ISC","NA","NA","NA"
"140","Al-Shaer, Ehab","MISSING",0,1,0,0,0,0,"","CCS","","","","","M","NA","NA"
"141","Alabi, Daniel","@g.harvard.edu",0,0,0,0,0,1,"","","","","","KDD","NA","us","edu"
"142","Alagappan, Ramnatthan","@cs.wisc.edu",0,0,0,0,0,3,"","","","","","EuroSys,FAST,FAST","NA","us","edu"
"143","Alaghi, Armin","@cs.washington.edu",0,0,0,0,0,2,"","","","","","IISWC,IPDPS","NA","us","edu"
"144","Alam, Hanna","@tce.technion.ac.il",0,0,0,0,0,1,"","","","","","ISCA","M","il","edu"
"145","Alam, Mejbah Ul","@utsa.edu",0,0,0,0,0,1,"","","","","","EuroSys","NA","ed","edu"
"146","Alam, Monjur","@gatech.edu",0,0,0,0,0,1,"","","","","","ISCA","NA","us","edu"
"147","Alam, Sadaf R.","",0,1,0,2,0,0,"","SC","","SC,SC","","","F","NA","NA"
"148","Alameldeen, Alaa","@cs.wisc.edu",0,1,1,0,0,1,"","MICRO","MICRO","","","MICRO","M","us","edu"
"149","Alapati, Praveen","@cse.iitm.ac.in",0,0,0,0,0,1,"","","","","","HPCC","M","in","edu"
"150","Alarcon, Sonia","",0,0,0,0,0,1,"","","","","","HCW","M","NA","NA"
"151","Alay, Özgü","@simula.no",0,2,0,0,0,1,"","CoNEXT,IMC","","","","MobiCom","F","no","gov"
"152","Albarghouthi, Aws","@cs.wisc.edu",0,0,0,0,0,1,"","","","","","OOPSLA","NA","us","edu"
"153","Albayram, Yusuf","",0,0,0,0,0,1,"","","","","","CLOUD","M","NA","NA"
"154","Albericio, Jorge","@ece.toronto.edu",0,0,0,0,0,1,"","","","","","MICRO","NA","us","edu"
"155","Albers, Susanne","@in.tum.de",0,2,1,0,0,1,"","SPAA,IPDPS","SPAA","","","SPAA","F","de","edu"
"156","Albonesi, David","",0,0,0,0,0,1,"","","","","","ISPASS","F","NA","NA"
"157","Alcantara, Joel","",0,0,0,0,0,1,"","","","","","Middleware","F","NA","NA"
"158","Alcorn, Scott","",0,0,0,0,0,1,"","","","","","KDD","NA","NA","NA"
"159","Alcántara, Manuel","",0,0,0,0,0,1,"","","","","","IPDPS","NA","NA","NA"
"160","Aldinucci, Marco","@unito.it",0,1,0,0,0,0,"","Cluster","","","","","M","it","edu"
"161","Aldrich, Jonathan","@cs.cmu.edu",1,0,2,0,0,0,"OOPSLA","","OOPSLA,OOPSLA","","","","M","us","edu"
"162","Alduaij, Naser","@cs.columbia.edu",0,0,0,0,0,1,"","","","","","Middleware","NA","us","edu"
"163","Aldweesh, Amjad","",0,0,0,0,0,1,"","","","","","CCS","F","NA","NA"
"164","Alexeev, Yuri","@alcf.anl.gov",0,0,0,0,0,1,"","","","","","SC","M","us","gov"
"165","Alforov, Yevhen","@dkrz.de",0,0,0,0,0,1,"","","","","","Cluster","NA","de","gov"
"166","Alfredsson, Stefan","@kau.se",0,0,0,0,0,1,"","","","","","MobiCom","NA","se","edu"
"167","Alglave, Jade","@ucl.ac.uk",0,1,0,0,0,0,"","ASPLOS","","","","","F","ac","edu"
"168","Alhassoun, Nailah","@ksu.edu.sa",0,0,0,0,0,1,"","","","","","IGSC","M","us","edu"
"169","Ali, Karim","@ualberta.ca",0,0,0,0,0,1,"","","","","","OOPSLA","NA","ca","edu"
"170","Ali-Eldin, Ahmed","@cs.umu.se",0,0,0,0,0,1,"","","","","","ICPE","NA","se","edu"
"171","Alian, Mohammad","@illinois.edu",0,0,0,0,0,2,"","","","","","ISPASS,HPCA","NA","us","edu"
"172","Alim, Adil","@albany.edu",0,0,0,0,0,1,"","","","","","ICDM","NA","us","edu"
"173","Alimohammadifar, Amir","",0,0,0,0,0,1,"","","","","","NDSS","NA","NA","NA"
"174","Alipour, Mehdi","@it.uu.se",0,0,0,0,0,1,"","","","","","ISCA","NA","se","edu"
"175","Alipourfard, Omid","@yale.edu",0,0,0,0,0,1,"","","","","","NSDI","NA","us","edu"
"176","Alistarh, Dan","@csail.mit.edu",0,0,0,0,0,3,"","","","","","EuroSys,PODC,CoNEXT","NA","us","edu"
"177","Alizadeh, Mohammad","@csail.mit.edu",0,1,0,0,1,4,"","SIGCOMM","","","CoNEXT","NSDI,SIGCOMM,SIGCOMM,SIGCOMM","M","us","edu"
"178","Allalen, Momme","",0,0,0,0,0,1,"","","","","","ISC","F","NA","NA"
"179","Allan, James","@cs.umass.edu",0,1,0,0,0,1,"","SIGIR","","","","SIGIR","M","ed","edu"
"180","Allcock, William","",0,0,0,0,0,1,"","","","","","Cluster","NA","NA","NA"
"181","Allen, Gabrielle Dawn","@illinois.edu",0,2,0,0,0,0,"","ICPP,Cluster","","","","","F","us","edu"
"182","Allen, Tyler","",0,0,0,0,0,1,"","","","","","Cluster","NA","NA","NA"
"183","Allen-Bond, Michael R.","",0,0,0,0,0,1,"","","","","","ASPLOS","NA","NA","NA"
"184","Allman, Mark","@icir.org",0,1,0,0,0,1,"","IMC","","","","IMC","M","us","edu"
"185","Allodi, Luca","@tue.nl",0,0,0,0,0,1,"","","","","","CCS","NA","nl","edu"
"186","Almakhdhub, Naif Saleh","",0,0,0,0,0,1,"","","","","","SP","M","NA","NA"
"187","Almasi, Gheorghe","",0,2,0,0,0,0,"","SC,EuroPar","","","","","M","NA","NA"
"188","Almeida, Francisco","@ull.edu.es",0,1,0,0,0,0,"","EuroPar","","","","","M","ed","edu"
"189","Almeida, José Bacelar","@di.uminho.pt",0,0,0,0,0,2,"","","","","","CCS,CCS","NA","pt","edu"
"190","Almeida, Jussara","@dcc.ufmg.br",0,1,0,0,0,1,"","MASCOTS","","","","MASCOTS","F","br","edu"
"191","Almgren, Ann","@lbl.gov",0,0,0,0,0,2,"","","","","","ICPP,EuroPar","F","us","gov"
"192","Almgren, Magnus","@chalmers.se",0,0,0,0,0,1,"","","","","","ICPP","M","se","edu"
"193","Almudever, Carmen G.","@tudelft.nl",0,0,0,0,0,1,"","","","","","MICRO","NA","nl","edu"
"194","Alonso, Gustavo","@inf.ethz.ch",1,0,0,0,0,3,"EuroSys","","","","","SIGMOD,SIGMOD,SIGMOD","M","ch","edu"
"195","Alonso, Omar","@microsoft.com",0,1,0,0,0,0,"","SIGIR","","","","","M","NA","com"
"196","Alrwais, Sumayah","",0,0,0,0,0,1,"","","","","","SP","NA","NA","NA"
"197","Alshboul, Mohammad","@ncsu.edu",0,0,0,0,0,1,"","","","","","PACT","NA","us","edu"
"198","Alshenibr, Leen","",0,0,0,0,0,1,"","","","","","NDSS","NA","NA","NA"
"199","Alsop, Johnathan","@illinois.edu",0,0,0,0,0,2,"","","","","","IISWC,ISCA","NA","us","edu"
"200","Alsudais, Azzam","@colorado.edu",0,0,0,0,0,1,"","","","","","NSDI","NA","us","edu"
"201","Alt, Samantha","",0,0,0,0,0,1,"","","","","","HiPC","F","NA","NA"
"202","Altaf, Bin","@cs.wisc.edu",0,0,0,0,0,1,"","","","","","ISCA","M","us","edu"
"203","Altayeva, Aigerim","",0,0,0,0,0,1,"","","","","","HPCC","NA","NA","NA"
"204","Althoff, Tim","@cs.stanford.edu",0,1,0,0,0,0,"","KDD","","","","","M","us","edu"
"205","Altingovde, Ismail Sengor","@ceng.metu.edu.tr",0,1,0,0,0,0,"","SIGIR","","","","","M","us","edu"
"206","Altintas, Ilkay","@sdsc.edu",1,2,0,1,0,0,"ICPP","SC,ISC","","CLOUD","","","F","us","edu"
"207","Altisen, Karine","@imag.fr",0,0,0,0,0,1,"","","","","","IPDPS","NA","fr","edu"
"208","Altmann, Jorn","@acm.org",0,1,0,0,0,0,"","CLOUD","","","","","M","NA","NA"
"209","Altıntaş, Ervin","",0,0,0,0,0,1,"","","","","","IPDPS","NA","NA","NA"
"210","Alur, Rajeev","@cis.upenn.edu",0,0,0,0,0,2,"","","","","","SIGCOMM,PLDI","NA","ed","edu"
"211","Aluru, Srinivas","@cc.gatech.edu",1,3,1,0,0,2,"ICDM","SC,IPDPS,PACT","PACT","","","IPDPS,HiPC","M","us","edu"
"212","Alvares, Alberto Jose","",0,0,0,0,0,1,"","","","","","ICPP","M","NA","NA"
"213","Alvarez, Gonzalo P. Rodrigo","@cs.umu.se",0,0,0,0,0,1,"","","","","","HPDC","F","se","edu"
"214","Alvaro, Peter","@ucsc.edu",0,2,1,0,0,3,"","SIGMOD,SOCC","SOCC","","","EuroSys,HotStorage,HotCloud","M","ed","edu"
"215","Alviano, Mario","@mat.unical.it",0,0,0,0,0,1,"","","","","","PODS","M","it","edu"
"216","Alvisi, Lorenzo","@cs.cornell.edu",1,2,1,0,0,4,"SOSP","PODC,SOSP","PODC","","","NSDI,PODC,SIGCOMM,SIGMOD","M","us","edu"
"217","Alwen, Joel","",0,0,0,0,0,1,"","","","","","CCS","NA","NA","NA"
"218","Amann, Johanna","",0,1,1,0,0,2,"","NDSS","NDSS","","","CoNEXT,IMC","F","NA","NA"
"219","Amano, Hideharu","@am.ics.keio.ac.jp",0,0,0,0,0,3,"","","","","","ICPP,HPCA,Cluster","NA","jp","edu"
"220","Amaral, José Nelson","@ualberta.ca",0,0,0,0,0,1,"","","","","","EuroPar","M","ca","edu"
"221","Amaral, Marcelo Carneiro Do","@ac.upc.edu",0,0,0,0,0,1,"","","","","","SC","NA","es","edu"
"222","Amaral, Vasco","@fct.unl.pt",0,0,0,0,0,1,"","","","","","SLE","NA","pt","edu"
"223","Amarasinghe, Saman","@mit.edu",0,0,0,0,0,2,"","","","","","OOPSLA,CIDR","M","us","edu"
"224","Amarilli, Antoine","@a3nm.net",0,0,0,0,0,1,"","","","","","PODS","NA","fr","edu"
"225","Amarís, Marcos","@ime.usp.br",0,0,0,0,0,1,"","","","","","EuroPar","NA","br","edu"
"226","Amato, Nancy","@tamu.edu",0,2,0,0,0,0,"","PPoPP,IPDPS","","","","","F","us","edu"
"227","Ambrona, Miguel","",0,0,0,0,0,1,"","","","","","CCS","NA","NA","NA"
"228","Amer, Abdelhalim","@anl.gov",0,2,0,0,0,2,"","IPDPS,ISC","","","","SC,CCGrid","M","us","gov"
"229","Amer, Halim","@aurak.ac.ae",0,0,0,0,0,1,"","","","","","PPoPP","NA","ae","edu"
"230","Ames, Scott","",0,0,0,0,0,1,"","","","","","CCS","F","NA","NA"
"231","Amigó, Enrique","@lsi.uned.es",0,1,0,0,0,0,"","SIGIR","","","","","M","es","edu"
"232","Amin, Tanvir Al","@google.com",0,0,0,0,0,1,"","","","","","ICAC","NA","NA","com"
"233","Amini, Massih-Reza","@imag.fr",0,1,0,0,0,0,"","SIGIR","","","","","M","fr","edu"
"234","Amiri, Ardalan","@uci.edu",0,0,0,0,0,1,"","","","","","ASPLOS","NA","ed","edu"
"235","Amit, Nadav","@vmware.com",0,3,1,0,0,3,"","ATC,SYSTOR,VEE","ATC","","","ATC,ASPLOS,HotOS","M","NA","com"
"236","Ammar, Mostafa","@cc.gatech.edu",0,1,0,0,0,0,"","MASCOTS","","","","","M","us","edu"
"237","Amorim, Luís Eduardo De Souza","",0,0,0,0,0,1,"","","","","","SLE","NA","NA","NA"
"238","Amrizal, Muhammad Alfian","",0,0,0,0,0,1,"","","","","","HiPC","NA","NA","NA"
"239","Amsterdamer, Yael","@biu.ac.il",0,1,0,0,0,0,"","SIGMOD","","","","","F","il","edu"
"240","Amza, Cristiana","@ece.utoronto.ca",0,1,0,0,0,1,"","Middleware","","","","VEE","F","ca","edu"
"241","An, Aijun","@cse.yorku.ca",0,1,0,0,0,0,"","ICDM","","","","","F","ca","edu"
"242","An, Yujie","MISSING",0,0,0,0,0,1,"","","","","","IPDPS","NA","NA","NA"
"243","An, Zhenlin","@comp.polyu.edu.hk",0,0,0,0,0,1,"","","","","","MobiCom","F","us","edu"
"244","An, Zhongqi","",0,0,0,0,0,1,"","","","","","Cluster","F","NA","NA"
"245","Anagnostopoulos, Aris","@dis.uniroma1.it",0,1,0,0,0,0,"","KDD","","","","","M","it","edu"
"246","Anand, Saswat","@cs.stanford.edu",0,0,0,0,0,1,"","","","","","NDSS","M","us","edu"
