name,gs_email,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author,pc_chairs,pcs,session_chairs,panels,keynotes,papers,gender,country,sector
"Hatanaka, Masayuki",,0,0,0,0,0,1,,,,,,SC,NA,NA,NA
"Hauff, Claudia",@tudelft.nl,0,1,0,0,0,0,,SIGIR,,,,,F,nl,edu
"Hauser, Frederik",,0,0,0,0,0,1,,,,,,ICPE,NA,NA,NA
"Hauswald, Johann",@umich.edu,0,0,0,0,0,1,,,,,,ASPLOS,NA,ed,edu
"Havens, John C.",,0,0,0,1,0,0,,,,CCS,,,M,NA,NA
"Hawblitzel, Chris",,0,0,0,0,0,1,,,,,,SOSP,NA,NA,NA
"Hawick, Ken",@hull.ac.uk,0,1,0,0,0,0,,ICPP,,,,,M,uk,edu
"Hay, Michael",@colgate.edu,0,1,1,0,0,2,,SIGMOD,SIGMOD,,,"CCS,SIGMOD",M,us,edu
"Hayashi, Akihiro",@rice.edu,0,1,0,0,0,0,,PPoPP,,,,,M,us,edu
"Hayes, Ari B.",@cs.rutgers.edu,0,0,0,0,0,2,,,,,,"ATC,SIGMETRICS",NA,us,edu
"Haymes, Charles L.",,0,0,0,0,0,1,,,,,,MICRO,NA,NA,NA
"Haynes, Brandon",,0,0,0,0,0,1,,,,,,CIDR,M,NA,NA
"Hazay, Carmit",@biu.ac.il,0,0,0,0,0,1,,,,,,CCS,NA,il,edu
"Hazelwood, Kim",@fb.com,0,3,1,0,0,0,,"MICRO,ASPLOS,ISCA",ISCA,,,,F,NA,com
"He, Ben",,0,1,0,0,0,0,,SIGIR,,,,,M,NA,NA
"He, Bingsheng",@comp.nus.edu.sg,0,3,0,0,0,1,,"CCGrid,EuroPar,IPDPS",,,,SC,M,us,edu
"He, Daqing",@pitt.edu,0,1,0,0,0,1,,SIGIR,,,,SIGIR,M,us,edu
"He, Hao",,0,0,0,0,0,1,,,,,,IPDPS,NA,NA,NA
"He, Jiahuan",MISSING,0,0,0,0,0,1,,,,,,ATC,NA,NA,NA
"He, Jin",,0,0,0,0,0,1,,,,,,ICDM,NA,NA,NA
"He, Jingrui",@asu.edu,0,1,0,0,0,3,,ICDM,,,,"KDD,ICDM,ICDM",F,us,edu
"He, Jiyin",@cwi.nl,0,1,0,0,0,0,,SIGIR,,,,,F,nl,gov
"He, Jun",@cs.wisc.edu,0,0,0,0,0,1,,,,,,EuroSys,NA,us,edu
"He, Junxian",,0,0,0,0,0,1,,,,,,KDD,NA,NA,NA
"He, Lifang",@uic.edu,0,0,0,0,0,1,,,,,,KDD,NA,ed,edu
"He, Paul",@edu.uwaterloo.ca,0,0,0,0,0,1,,,,,,OOPSLA,NA,ca,edu
"He, Qi",@linkedin.com,0,1,0,0,0,0,,SIGIR,,,,,M,us,com
"He, Qiang",@swin.edu.au,0,0,0,0,0,1,,,,,,CLOUD,NA,us,edu
"He, Qing",@ics.ict.ac.cn,0,1,0,0,0,0,,ICDM,,,,,M,cn,edu
"He, Shuibing",@whu.edu.cn,0,0,0,0,0,1,,,,,,ICPP,NA,us,edu
"He, Tian",@cs.umn.edu,0,1,0,0,0,1,,MobiCom,,,,MobiCom,M,ed,edu
"He, Weiping",@vt.edu,0,0,0,0,0,2,,,,,,"FAST,FAST",NA,us,edu
"He, Xi",@cs.duke.edu,0,0,0,0,0,1,,,,,,CCS,NA,us,edu
"He, Xiangnan",@comp.nus.edu.sg,0,1,0,0,0,4,,SIGIR,,,,"SIGIR,SIGIR,SIGIR,SIGIR",M,us,edu
"He, Xiao",@neclab.eu,0,0,0,0,0,1,,,,,,ICDM,NA,de,com
"He, Xiaofeng",,0,2,0,0,0,0,,"KDD,ICDM",,,,,M,NA,NA
"He, Xubin",@temple.edu,0,1,0,0,0,3,,SC,,,,"MASCOTS,MASCOTS,Cluster",M,us,edu
"He, Yeye",,0,0,0,0,0,1,,,,,,SIGMOD,NA,NA,NA
"He, Yi",,0,0,0,0,0,1,,,,,,CCS,NA,NA,NA
"He, Yuan",@greenorbs.com,0,0,0,0,0,1,,,,,,MobiCom,NA,NA,com
"He, Yuan",@sut.edu.cn,0,0,0,0,0,1,,,,,,IPDPS,NA,us,edu
"He, Yuxiong",@microsoft.com,0,2,0,0,0,7,,"PPoPP,ICAC",,,,"MICRO,SIGIR,SPAA,Middleware,Middleware,ASPLOS,SOCC",NA,NA,com
"He, Zecheng",@mail.ustc.edu.cn,0,0,0,0,0,1,,,,,,MICRO,NA,ed,edu
"He, Zhenxue",,0,0,0,0,0,1,,,,,,HPCC,NA,NA,NA
"Heart, Karen",,0,0,0,0,0,1,,,,,,CIDR,F,NA,NA
"Heck, Larry",,0,0,0,1,0,0,,,,KDD,,,M,NA,NA
"Hedayati, Mohammad",,0,0,0,0,0,1,,,,,,ATC,NA,NA,NA
"Hedin, Görel",@cs.lth.se,0,0,0,0,0,1,,,,,,SLE,NA,se,edu
"Hegde, Nidhi",@nokia-bell-labs.com,0,1,0,0,0,0,,SIGMETRICS,,,,,F,NA,com
"Hegde, Nikhil",,0,0,0,0,0,1,,,,,,ISPASS,NA,NA,NA
"Heide, Felix",@stanford.edu,0,0,0,0,0,1,,,,,,MICRO,NA,us,edu
"Heide, Friedhelm Meyer Auf Der",@upb.de,0,2,1,0,0,1,,"SPAA,IPDPS",SPAA,,,SPAA,M,de,edu
"Heidemann, John",@isi.edu,0,1,1,0,0,1,,IMC,IMC,,,IMC,M,us,edu
"Heidinga, Dan",,0,1,0,0,0,0,,VEE,,,,,M,NA,NA
"Heilman, Ethan",@bu.edu,0,0,1,0,0,1,,,NDSS,,,NDSS,M,us,edu
"Heinecke, Alexander",@intel.com,0,1,0,0,0,2,,IPDPS,,,,"ISC,ISC",M,NA,com
"Heinis, Thomas",@imperial.ac.uk,0,1,0,0,0,0,,SIGMOD,,,,,M,uk,edu
"Heinrich, Franz C.",,0,0,0,0,0,1,,,,,,Cluster,NA,NA,NA
"Heinz, Marcel",,0,0,0,0,0,1,,,,,,SLE,NA,NA,NA
"Heiser, Gernot",@unsw.edu.au,0,1,0,0,0,0,,SOSP,,,,,M,ed,edu
"Heitmann, Katrin",,0,0,0,0,0,1,,,,,,HiPC,NA,NA,NA
"Helal, Ahmed E.",@vt.edu,0,0,0,0,0,1,,,,,,IISWC,NA,us,edu
"Hellerstein, Joseph M.",@berkeley.edu,0,0,0,0,0,1,,,,,,CIDR,M,us,edu
